MFCC_1,MFCC_2,MFCC_3,MFCC_4,MFCC_5,MFCC_6,MFCC_7,MFCC_8,MFCC_9,MFCC_10,MFCC_11,MFCC_12,MFCC_13,LPC_1,LPC_2,LPC_3,LPC_4,LPC_5,LPC_6,LPC_7,LPC_8,LPC_9,LPC_10,LPC_11,LPC_12,LPC_13,PLP_1,PLP_2,PLP_3,PLP_4,PLP_5,PLP_6,PLP_7,PLP_8,PLP_9,PLP_10,PLP_11,PLP_12,PLP_13,Speaker
-231.4236034756805,62.796445097343984,-24.262025840981263,7.603121885203439,-24.225769066819808,-18.257897735532072,-32.710942549442905,-19.128316492503,-16.186638542299843,-4.08335868366276,-7.704570417938941,-1.5571910563718214,-5.582822470325749,1.0,-1.5635546793248056,1.4312787198812438,-1.1463552658595502,0.8431689774005261,-0.7631450376652331,0.8036131893569195,-0.7485507802786382,0.5636346081788604,-0.4218115588717026,0.3285768036351246,-0.2204715643568407,0.189065377448215,-77.05259416907774,-1.0062278270743883,-0.5012420683965517,-0.668251756368397,-0.7512838887138154,-0.8007322723552035,-0.8333973117900962,-0.8564812002082394,-0.873586771751854,-0.8867172463488775,-0.8970763511046544,-0.9054324668806362,-0.9140718656183334,Speaker_0000
-233.2657627313613,62.10664954871227,-17.403662905695544,14.549960842881935,-24.42969469467322,-15.726392910962696,-33.08680074997371,-18.593561231692775,-17.045744898556965,-9.723973093374337,-9.54853630063684,-1.5761704436546102,-4.932944493197399,1.0,-1.5063556413368488,1.450913005961802,-1.1656343592863925,0.769488621920947,-0.697999009275186,0.7576039554841351,-0.7022638753699771,0.536972348476151,-0.4121689794615025,0.3163639341570973,-0.2098706415141208,0.1802928683856033,-76.62417503023406,-1.007253885342318,-0.5016349764545027,-0.6687739629088426,-0.7518486026081128,-0.801305401072379,-0.8339618559728209,-0.8570271082077862,-0.8741073135189805,-0.8872076202263058,-0.8975333006381275,-0.9058546434475556,-0.915389348811016,Speaker_0000
-242.85871286807503,69.62779127065023,-16.906672671978995,7.809292918001039,-25.95451232086569,-13.994637366106794,-31.853860797515424,-19.43915037371757,-19.759432314981204,-9.746366906439349,-6.59985357945641,-1.5164628754721106,-4.430082687226054,1.0,-1.5539887776698678,1.4411635417861277,-1.1537846199173034,0.7699870194243359,-0.6461529613037102,0.7009959251189368,-0.6801468495449561,0.5437410989721143,-0.4373704973886235,0.3243754489843787,-0.1992681702335798,0.169527387203775,-77.27564792478769,-1.0061837717342743,-0.5013193496546728,-0.6683672953873948,-0.7514560337618529,-0.80096908030603,-0.8337022810379964,-0.8568552422529506,-0.8740291720885731,-0.8872263082370965,-0.8976500646722118,-0.9060695689479188,-0.9146246984573408,Speaker_0000
-219.609842744046,68.03530318721704,-20.547040163250944,12.73759015942105,-22.103056788409468,-17.834474477277585,-34.668684558146246,-19.72588300837312,-21.51718614723932,-8.260896306396194,-7.825133471009842,-2.3602172224736204,-6.420091893503188,1.0,-1.5882639272209989,1.481849699215901,-1.184459939046993,0.853493639913688,-0.8071766520061697,0.817937397020369,-0.7631119753357762,0.5830776177009345,-0.4336900704879682,0.3471403205241253,-0.2333861579836834,0.1933241111670753,-75.63783044924196,-1.0075965471400463,-0.5017588076034144,-0.6689441902463907,-0.7520388737947478,-0.8015042655871374,-0.8341628512632258,-0.857225945470676,-0.8743007297883072,-0.887392849264023,-0.8977079709977428,-0.9060173425139436,-0.9156612273989948,Speaker_0000
-252.97891412503475,65.5510206244179,-21.028204507365903,7.717904451206275,-22.307208631358275,-14.918184696911355,-31.600153921952987,-16.995042740512012,-17.897185384554707,-7.837868678402467,-7.714207030429322,-1.9625330804780463,-5.292044572755263,1.0,-1.5250725291290108,1.4082615449552962,-1.131690852384161,0.8399553047019578,-0.7186514861519412,0.7464054507281299,-0.6997862572731598,0.5414725284783658,-0.4507272038522903,0.3521647673396579,-0.2323021372346652,0.1832703518381729,-79.09435404952605,-1.0065480105444575,-0.5012928901459519,-0.6683262129733557,-0.7513529421079552,-0.8007846054172281,-0.8334279531408975,-0.8564880314462089,-0.8735691127187643,-0.8866752313467158,-0.8970107738387545,-0.9053452527923672,-0.9144178262447816,Speaker_0000
-231.2944275221784,69.08622660184582,-22.109201596223823,10.630583535921026,-23.650025801849605,-16.556167846603117,-32.4804574872233,-17.603054519643297,-17.01436530507813,-9.34948420350612,-7.695819011015375,-2.095097808087352,-7.003159382388285,1.0,-1.6297851499249765,1.5118491371450873,-1.1737864833161933,0.819792566109705,-0.7258608255138976,0.7593980281610586,-0.7167505237465701,0.5355872616256653,-0.4021846584124158,0.3228357273261742,-0.2212176391182509,0.1810295296459693,-76.13251078078241,-1.0071182751276178,-0.5016896546424083,-0.6688466923063376,-0.7519564127193241,-0.8014538018320708,-0.83415239545877,-0.85725960721048,-0.8743806818714659,-0.8875201988607289,-0.8978829943499697,-0.906238886359632,-0.9151138044538182,Speaker_0000
-243.37642665551823,65.06931957794392,-19.29806023558574,10.703634665225565,-24.992639154790453,-14.62038517041975,-32.18635429767272,-16.938874455592874,-14.993299178942848,-7.365223045487514,-7.480526629709617,-3.423782585649046,-7.4178012446561725,1.0,-1.537622011420534,1.461593443251335,-1.1845586540842776,0.8258847218645929,-0.7031286192021168,0.7229664690156263,-0.6926033292227057,0.5328005526211556,-0.4207653899527728,0.3479890100886462,-0.2242327513854561,0.1778980015515728,-78.06885481534728,-1.0064433586856083,-0.5013407480250873,-0.6683815815170034,-0.7514257434467628,-0.80087982545927,-0.8335482743690339,-0.856634861154054,-0.8737432322443666,-0.8868772425332198,-0.8972413094902547,-0.9056046577656864,-0.914483583125956,Speaker_0000
-240.20120877334097,71.53604419917654,-16.813707649710885,8.082660081653747,-26.29377470011324,-17.17054405447844,-32.70395255616905,-18.95652693016686,-19.401812334781813,-8.987836619922954,-6.8469540097356285,-1.7378851230077497,-3.164621038973076,1.0,-1.5939944886398203,1.4587368858616356,-1.1913350898835893,0.8288642089498525,-0.6897614282346339,0.7217141941985192,-0.6818196543878153,0.555145234326937,-0.4309730824560899,0.3195703095978555,-0.1993259814524383,0.1723544890169132,-76.84607387504053,-1.0064615126232106,-0.501393961337186,-0.6684595197768559,-0.7515374598770939,-0.8010276477961918,-0.8337319501551214,-0.8568527322659624,-0.873992714936439,-0.8871551354357068,-0.8975441642260774,-0.9059294636896318,-0.9146919369881163,Speaker_0000
-233.6617536251771,70.34682998634754,-21.8329952083189,7.644436652453206,-26.114865897309095,-14.68714288836799,-34.403618205102205,-20.423201472372327,-17.73101355469505,-7.105755514381121,-7.925634232284412,-3.621350843368377,-4.445404538477718,1.0,-1.6151510650101415,1.5181385200821234,-1.1958003791383374,0.8343766383740542,-0.7025060611023026,0.7145914621745947,-0.693517639030114,0.561869979707801,-0.4535051128363107,0.3469629083369621,-0.2205649031003867,0.1809280383280821,-76.3618454028492,-1.00629958884613,-0.5013854956510615,-0.668470129567395,-0.7515870210373956,-0.8011229340525494,-0.8338756279685897,-0.8570457302113621,-0.8742348218271085,-0.8874449961966491,-0.8978790756400693,-0.9063053259017648,-0.9147082298472756,Speaker_0000
-246.72218409794368,64.99688079751256,-18.71138745772196,7.597511935551624,-25.581280306247148,-13.734029478980622,-32.037779188469074,-17.28436588154609,-16.969984884553153,-7.391449008784231,-10.335664639819436,-3.147527439582041,-4.216781815482172,1.0,-1.5159311392328003,1.4338619453348025,-1.1526296177320707,0.8084562410410452,-0.7152534994776685,0.7718460502210189,-0.7018122233251423,0.5391350574624781,-0.4459162442759785,0.3527267685491499,-0.2471006529723482,0.1986646222123483,-77.49919522270334,-1.0062974817640542,-0.5013694072686898,-0.6684297839657435,-0.751522762660653,-0.8010369021380994,-0.8337695024842618,-0.8569207635534185,-0.8740922312982589,-0.8872864238028123,-0.8977070820015082,-0.9061237713648606,-0.9145409870522092,Speaker_0000
-247.5758433418268,65.48166374167967,-18.279293232290176,9.181751922485509,-23.549858123409177,-16.446656759143664,-35.360941485451455,-16.78516982986063,-14.332651175724036,-8.293531871170558,-8.690942537424887,-2.244092605356851,-4.556579486552818,1.0,-1.5393377428896964,1.4205156839692457,-1.1666969741069555,0.8113319691180341,-0.6639366680015246,0.6992351077895537,-0.6627777172942609,0.5024013893804748,-0.4022909025530655,0.3072490259702957,-0.1744691197999176,0.1597915112380175,-77.52880192892765,-1.006275360773944,-0.5012740546731228,-0.6682973573707695,-0.751346458268874,-0.8008138097493654,-0.8334984494682375,-0.8566014877701011,-0.8737249629608838,-0.8868716208134859,-0.8972451916797277,-0.9056149069587124,-0.9142979810776818,Speaker_0000
